epoch	train_loss	valid_loss	mse	mae	time
464	0.224684	0.161416	0.161416	0.236634	02:19
465	0.223541	0.162805	0.162805	0.243279	02:19
466	0.226331	0.166516	0.166516	0.248582	02:20
467	0.222633	0.158696	0.158696	0.236233	02:18
468	0.226801	0.164669	0.164669	0.250178	02:20
469	0.232033	0.163451	0.163451	0.241564	02:19
470	0.226428	0.170253	0.170253	0.249876	02:21
471	0.221754	0.164427	0.164427	0.245962	02:18
472	0.225587	0.162510	0.162510	0.239640	02:20
473	0.229552	0.169191	0.169191	0.245776	02:20
474	0.227053	0.157097	0.157097	0.246056	02:22
475	0.226336	0.164000	0.164000	0.241851	02:20
476	0.229750	0.163324	0.163324	0.245516	02:19
477	0.224338	0.165553	0.165553	0.249318	02:19
478	0.226341	0.150740	0.150740	0.238799	02:19
479	0.228885	0.173086	0.173086	0.252248	02:20
480	0.228721	0.156713	0.156713	0.245182	02:20
481	0.230531	0.153627	0.153627	0.242140	02:19
482	0.228422	0.159221	0.159221	0.244685	02:19
483	0.229459	0.162835	0.162835	0.246594	02:19
484	0.226962	0.162990	0.162990	0.247256	02:19
485	0.229554	0.158487	0.158487	0.242269	02:20
486	0.227525	0.168970	0.168970	0.246360	02:19
487	0.224405	0.165237	0.165237	0.245160	02:19
488	0.225709	0.161453	0.161453	0.246220	02:19
489	0.224037	0.154681	0.154681	0.239701	02:20
490	0.230616	0.161690	0.161690	0.237870	02:19
491	0.229025	0.162456	0.162456	0.243340	02:20
492	0.229590	0.169576	0.169576	0.244878	02:20
493	0.224742	0.160676	0.160676	0.249073	02:19
494	0.228982	0.162900	0.162900	0.242407	02:19
495	0.222542	0.159566	0.159566	0.238669	02:21
496	0.229067	0.160305	0.160305	0.244481	02:20
497	0.221018	0.166130	0.166130	0.250311	02:19
498	0.225962	0.171745	0.171745	0.256667	02:20
499	0.224670	0.161366	0.161366	0.241099	02:19
