epoch	train_loss	valid_loss	mse	mae	time
182	0.083771	0.078118	0.078118	0.157285	03:07
183	0.085210	0.085806	0.085806	0.167815	03:01
184	0.087418	0.100832	0.100832	0.169841	03:09
185	0.085698	0.089198	0.089198	0.163831	03:13
186	0.082698	0.078318	0.078318	0.159695	03:09
187	0.086284	0.081694	0.081694	0.164623	03:06
188	0.081033	0.080364	0.080364	0.156863	03:13
189	0.081108	0.083855	0.083855	0.155783	03:29
190	0.085236	0.079210	0.079210	0.154812	03:15
191	0.079418	0.077944	0.077944	0.151188	03:00
192	0.076627	0.084201	0.084201	0.160681	02:56
193	0.083228	0.080217	0.080217	0.164318	03:13
194	0.081429	0.103504	0.103504	0.176838	02:53
195	0.080298	0.080101	0.080101	0.160017	02:52
196	0.077962	0.087548	0.087548	0.164259	02:51
197	0.077570	0.083797	0.083797	0.160787	02:50
198	0.076290	0.084200	0.084200	0.171455	02:55
199	0.075539	0.083798	0.083798	0.165312	03:06
200	0.074749	0.079253	0.079253	0.153755	02:58
201	0.075035	0.087241	0.087241	0.159060	03:07
202	0.079952	0.091921	0.091921	0.162501	03:16
203	0.078466	0.082191	0.082191	0.154006	03:22
204	0.078236	0.084366	0.084366	0.155293	03:49
205	0.077521	0.076059	0.076059	0.152295	03:16
206	0.079401	0.088257	0.088257	0.166270	02:58
207	0.075136	0.082709	0.082709	0.161206	03:01
208	0.072603	0.075206	0.075206	0.153556	02:53
209	0.074536	0.071860	0.071860	0.155350	02:59
210	0.071379	0.081757	0.081757	0.156185	03:08
211	0.072200	0.086553	0.086553	0.161128	03:02
212	0.077510	0.076560	0.076560	0.149596	03:20
213	0.078633	0.081981	0.081981	0.156126	03:46
214	0.077360	0.073634	0.073634	0.157003	03:30
215	0.074439	0.081373	0.081373	0.152805	03:27
216	0.073545	0.070325	0.070325	0.149404	03:49
217	0.073144	0.077786	0.077786	0.147289	03:24
218	0.072983	0.082374	0.082374	0.155532	03:47
219	0.069732	0.070478	0.070478	0.152558	03:50
220	0.070979	0.092762	0.092762	0.164522	03:47
221	0.074659	0.078952	0.078952	0.160761	03:37
222	0.069550	0.083790	0.083790	0.159990	02:55
223	0.069401	0.077861	0.077861	0.148465	03:19
224	0.071116	0.078339	0.078339	0.149553	03:07
225	0.071169	0.071302	0.071302	0.143829	03:44
226	0.071900	0.070905	0.070905	0.150677	03:41
227	0.071417	0.083328	0.083328	0.163754	03:35
228	0.074675	0.076491	0.076491	0.144190	03:11
229	0.070536	0.085435	0.085435	0.157151	04:00
230	0.069189	0.072726	0.072726	0.146482	03:24
231	0.069065	0.072431	0.072431	0.148505	03:55
232	0.066544	0.073650	0.073650	0.154718	03:41
233	0.070192	0.068947	0.068947	0.149476	03:25
234	0.072277	0.079330	0.079330	0.155695	03:40
235	0.076031	0.078994	0.078994	0.158170	03:48
236	0.073452	0.077197	0.077197	0.152197	03:31
237	0.071722	0.078177	0.078177	0.156206	1:07:42
238	0.070920	0.077669	0.077669	0.154770	03:18
239	0.070632	0.066117	0.066117	0.145949	03:17
240	0.066830	0.074636	0.074636	0.148793	03:03
241	0.069126	0.081263	0.081263	0.154059	03:03
242	0.069722	0.073796	0.073796	0.150797	03:03
243	0.068176	0.079326	0.079326	0.152237	03:03
244	0.070558	0.068879	0.068879	0.146658	03:05
245	0.067945	0.071758	0.071758	0.146217	03:03
246	0.066252	0.082512	0.082512	0.155688	03:03
247	0.068116	0.073783	0.073783	0.150388	03:04
248	0.072426	0.083346	0.083346	0.164512	03:03
249	0.071087	0.068419	0.068419	0.144761	03:04
250	0.074987	0.080497	0.080497	0.168604	03:04
251	0.068598	0.079929	0.079929	0.158258	03:03
252	0.065666	0.080180	0.080180	0.154824	03:04
253	0.067379	0.071082	0.071082	0.152708	03:07
254	0.065721	0.070630	0.070630	0.147274	03:19
255	0.069938	0.077490	0.077490	0.152234	03:35
256	0.069253	0.069460	0.069460	0.141794	03:24
257	0.068050	0.071134	0.071134	0.146031	03:15
258	0.062608	0.074580	0.074580	0.147417	03:21
259	0.065055	0.078720	0.078720	0.151022	03:14
260	0.065109	0.066475	0.066475	0.140142	03:12
261	0.062695	0.070818	0.070818	0.141324	03:40
262	0.062057	0.080552	0.080552	0.152420	03:41
263	0.066409	0.069823	0.069823	0.155473	03:39
264	0.063247	0.072473	0.072473	0.148402	03:39
265	0.063188	0.066563	0.066563	0.144160	03:39
266	0.065243	0.074523	0.074523	0.147988	03:39
267	0.068010	0.069681	0.069681	0.144649	03:37
268	0.066317	0.082699	0.082699	0.152524	03:30
269	0.064624	0.084459	0.084459	0.158394	03:37
270	0.061235	0.066006	0.066006	0.146804	03:35
271	0.060442	0.071396	0.071396	0.145335	03:34
272	0.059432	0.077474	0.077474	0.150321	03:42
273	0.061198	0.066338	0.066338	0.140392	03:42
274	0.066608	0.068866	0.068866	0.141965	03:39
275	0.067558	0.069594	0.069594	0.139951	03:40
276	0.063669	0.067830	0.067830	0.138667	03:41
277	0.062756	0.076649	0.076649	0.146826	03:41
278	0.060604	0.070972	0.070972	0.139786	03:40
279	0.062879	0.074720	0.074720	0.147059	03:39
280	0.065198	0.072359	0.072359	0.148769	04:10
281	0.064775	0.074396	0.074396	0.144816	03:18
282	0.060392	0.071760	0.071760	0.142003	03:41
283	0.060277	0.067479	0.067479	0.141433	03:33
284	0.061252	0.071291	0.071291	0.141344	03:54
285	0.060844	0.073320	0.073320	0.147782	03:48
286	0.063739	0.084115	0.084115	0.152492	03:48
287	0.065043	0.069835	0.069835	0.146948	03:38
288	0.060060	0.073565	0.073565	0.148470	03:36
289	0.060854	0.063853	0.063853	0.140141	03:37
290	0.060995	0.065986	0.065986	0.144156	03:47
291	0.062807	0.064154	0.064154	0.138891	03:40
292	0.062773	0.065556	0.065556	0.144377	03:49
293	0.059753	0.068146	0.068146	0.145655	03:40
294	0.060242	0.077423	0.077423	0.147435	03:43
295	0.064107	0.073258	0.073258	0.145951	03:39
296	0.059644	0.065430	0.065430	0.141749	03:52
297	0.052859	0.069483	0.069483	0.143298	03:45
298	0.051338	0.070438	0.070438	0.139738	03:55
299	0.051696	0.066807	0.066807	0.142131	03:33
300	0.051091	0.071598	0.071598	0.141470	03:23
301	0.056410	0.068024	0.068024	0.141555	03:29
302	0.056223	0.068276	0.068276	0.139508	03:31
303	0.057577	0.067791	0.067791	0.144809	03:38
304	0.056005	0.069635	0.069635	0.147897	04:02
305	0.055915	0.066044	0.066044	0.145851	03:35
306	0.060085	0.063628	0.063628	0.138494	03:08
307	0.060331	0.073391	0.073391	0.150731	02:57
308	0.058863	0.075552	0.075552	0.150510	02:55
309	0.059559	0.073768	0.073768	0.143141	02:55
310	0.060454	0.062763	0.062763	0.139199	02:55
311	0.060395	0.065937	0.065937	0.137108	02:56
312	0.061691	0.060388	0.060388	0.137061	02:55
313	0.061415	0.060744	0.060744	0.139472	02:54
314	0.058023	0.067111	0.067111	0.144027	02:54
315	0.058007	0.062805	0.062805	0.139393	02:54
316	0.057564	0.067784	0.067784	0.136250	02:54
317	0.057045	0.067952	0.067952	0.139280	02:56
318	0.056709	0.070515	0.070515	0.150843	02:55
319	0.055213	0.064985	0.064985	0.142533	02:54
320	0.053826	0.059907	0.059907	0.134132	02:54
321	0.054017	0.076821	0.076821	0.147590	02:54
322	0.057143	0.072567	0.072567	0.147835	02:57
323	0.056913	0.070215	0.070215	0.143532	02:55
324	0.058194	0.066898	0.066898	0.141268	02:53
325	0.058408	0.069894	0.069894	0.139738	02:55
326	0.062894	0.075596	0.075596	0.143215	02:57
327	0.061322	0.068332	0.068332	0.141360	02:54
328	0.057085	0.065719	0.065719	0.135559	02:54
329	0.059235	0.066293	0.066293	0.137439	02:54
330	0.055268	0.065256	0.065256	0.134377	02:55
331	0.055150	0.063489	0.063489	0.139976	02:56
332	0.055684	0.071504	0.071504	0.145008	02:55
333	0.058586	0.067320	0.067320	0.145660	02:56
334	0.056872	0.066125	0.066125	0.136772	02:55
335	0.055723	0.065482	0.065482	0.137746	02:56
336	0.050798	0.063241	0.063241	0.140155	02:55
337	0.050668	0.064394	0.064394	0.134991	02:55
338	0.054115	0.065766	0.065766	0.136773	02:55
339	0.053870	0.063183	0.063183	0.144375	02:55
340	0.055699	0.068387	0.068387	0.142352	02:56
341	0.055327	0.067940	0.067940	0.137668	02:55
342	0.053158	0.064962	0.064962	0.136533	02:56
343	0.055631	0.067727	0.067727	0.140412	02:58
344	0.055986	0.069879	0.069879	0.140872	02:54
345	0.056678	0.072748	0.072748	0.145200	02:55
346	0.056565	0.062492	0.062492	0.137109	02:57
347	0.056978	0.073134	0.073134	0.143184	03:01
348	0.057684	0.066503	0.066503	0.136869	02:54
349	0.057414	0.071172	0.071172	0.145648	03:02
350	0.056396	0.062530	0.062530	0.133785	03:10
351	0.054932	0.063074	0.063074	0.139575	02:54
352	0.055131	0.071840	0.071840	0.140662	02:54
353	0.052926	0.067279	0.067279	0.142737	02:55
354	0.055313	0.059855	0.059855	0.139019	02:56
355	0.054605	0.064172	0.064172	0.139526	02:55
356	0.053189	0.066069	0.066069	0.141146	02:55
357	0.053632	0.066602	0.066602	0.135865	02:55
358	0.056702	0.064504	0.064504	0.135052	02:55
359	0.057535	0.061355	0.061355	0.138617	02:54
360	0.055895	0.059389	0.059389	0.137939	02:54
361	0.054304	0.063629	0.063629	0.142138	02:55
362	0.052556	0.059609	0.059609	0.133071	02:54
363	0.051610	0.065929	0.065929	0.138556	02:57
364	0.049974	0.065434	0.065434	0.138557	02:54
365	0.051174	0.063504	0.063504	0.138344	02:54
366	0.052320	0.061310	0.061310	0.138443	02:55
367	0.054754	0.061333	0.061333	0.134921	02:59
368	0.051483	0.063475	0.063475	0.136555	02:55
369	0.049627	0.067728	0.067728	0.143448	02:55
370	0.048462	0.068047	0.068047	0.138625	02:56
371	0.054573	0.068923	0.068923	0.141214	02:55
372	0.055155	0.070752	0.070752	0.143596	02:55
373	0.054075	0.066946	0.066946	0.137728	02:54
